6#实际给料量,6#干燥炉排一段下漏渣溜管A温度,6#干燥炉排二段下漏渣溜管C温度,6#炉二次风电动调节门（后壁侧）,6#炉排烟SO2小时实时均值,6#炉活性炭流量累计,6#炉点火燃烧器A天然气压力,6#炉点火燃烧器B天然气压力,6#炉白班主汽流量,6#炉省煤器旁路烟气调节风门位置,6#炉省煤器灰斗出口烟气温度,6#炉粉尘折算小时均值,6#炉粉尘折算日均值,6#焚烧炉膛前温度,6#预计焚烧量
171.25461,144.4092,172.65578,9.99537,9.569392,2.65,251.04169,259.07407,490.5624,15.8773155,208.94188,1.0960526,1.2568284,955.32166,406.3584
171.25461,144.50208,172.3724,10.027779,9.559395,2.65,250.94908,259.07407,490.69034,15.8773155,208.94188,1.0960526,1.2568284,955.32166,406.3584
171.25461,144.50208,172.18347,10.034722,9.54979,2.65,250.94908,259.0046,490.81564,15.8773155,208.94188,1.0960526,1.2568284,955.32166,406.3584
171.25461,144.50208,172.12051,10.064815,9.540595,2.65,250.94908,259.07407,490.93588,15.8773155,208.94188,1.0960526,1.2568284,955.32166,406.3584
171.25461,144.50208,172.12051,10.048612,9.5309105,2.65,250.94908,259.07407,491.0635,15.8773155,208.9146,1.0960526,1.2568284,955.32166,406.3584
171.25461,144.31631,172.65578,10.034722,9.521991,2.65,250.94908,259.07407,491.18854,15.8773155,208.9146,1.0960526,1.2568284,955.22687,406.3584
171.25461,144.31631,172.9391,10.027779,9.513483,2.65,250.97221,259.07407,491.31604,15.8773155,208.9146,1.0960526,1.2568284,955.385,406.3584
171.25461,144.50208,172.46687,10.00463,9.505707,2.65,251.04169,259.07407,491.43857,15.8773155,208.9146,1.0960526,1.2568284,955.385,406.3584
171.25461,144.50208,172.18347,10.039351,9.498058,2.65,250.97221,259.07407,491.56345,15.884259,208.9146,1.0960526,1.2568284,955.22687,406.3584
171.25461,144.50208,172.18347,10.00463,9.490484,2.65,250.94908,259.07407,491.68817,15.861111,208.8737,1.0960526,1.2568284,955.22687,406.3584
171.25461,144.50208,172.46687,10.020833,9.482642,2.65,250.97221,259.07407,491.8153,15.8773155,208.8737,1.0960526,1.2568284,955.32166,406.3584
171.25461,144.50208,172.56133,10.027779,9.474632,2.65,251.04169,259.07407,491.9423,15.8773155,208.86008,1.0960526,1.2568284,955.32166,406.3584
171.25461,144.4092,172.3724,10.034722,9.4582,2.65,250.94908,259.07407,492.18588,15.8773155,208.8328,1.0960526,1.2568284,955.32166,406.3584
171.25461,144.4092,172.56133,10.034722,9.449433,2.65,250.94908,259.0046,492.31256,15.861111,208.8328,1.0960526,1.2568284,955.32166,406.3584
171.25461,144.31631,173.12798,10.034722,9.440688,2.65,250.94908,259.14352,492.43683,15.847222,208.80554,1.0960526,1.2568284,955.32166,406.3584
171.25461,144.31631,172.75023,9.990741,9.432654,2.65,250.94908,259.07407,492.55612,15.840277,208.77827,1.0960526,1.2568284,955.22687,406.3584
171.25461,144.4092,172.46687,10.039351,9.4237795,2.65,250.97221,259.07407,492.68277,15.8773155,208.77827,1.0960526,1.2568284,955.22687,406.3584
171.25461,144.4092,172.46687,10.041667,9.414627,2.66,250.94908,259.0046,492.80692,15.8773155,208.75099,1.0960526,1.2568284,955.03705,406.3584
171.25461,144.13057,173.03354,10.027779,9.405085,2.66,251.04169,259.07407,492.93356,15.884259,208.75099,1.0960526,1.2568284,955.32166,406.3584
171.25461,144.4092,172.75023,10.043982,9.396165,2.66,250.94908,259.0046,493.05276,15.8773155,208.73737,1.0960526,1.2568284,955.22687,406.3584
171.25461,144.4092,172.3724,10.020833,9.386922,2.66,250.94908,259.07407,493.17697,15.8773155,208.73737,1.0960526,1.2568284,955.22687,406.3584
171.25461,144.13057,172.9391,10.034722,9.377287,2.66,250.97221,259.07407,493.30353,15.884259,208.69647,1.0960526,1.2568284,955.03705,406.3584
171.25461,144.13057,172.75023,10.048612,9.367879,2.66,250.94908,259.07407,493.42996,15.875,208.66919,1.0960526,1.2568284,955.22687,406.3584
